kind,epoch,batch,total,value,policy,samples
batch,47,1,18285.507812,786.002319,17499.505859,5
epoch,47,0,18285.507812,786.002319,17499.505859,5
batch,48,1,16928.908203,1205.960327,15722.948242,3
epoch,48,0,16928.908203,1205.960327,15722.948242,3
batch,49,1,18775.228516,11.202991,18764.025391,3
epoch,49,0,18775.228516,11.202991,18764.025391,3
batch,50,1,27158.750000,1205.857422,25952.892578,3
epoch,50,0,27158.750000,1205.857422,25952.892578,3
batch,51,1,16173.396484,1287.288086,14886.108398,3
epoch,51,0,16173.396484,1287.288086,14886.108398,3
batch,52,1,38501.253906,807.825500,37693.429688,5
epoch,52,0,38501.253906,807.825500,37693.429688,5
batch,53,1,14686.210938,1287.201782,13399.008789,3
epoch,53,0,14686.210938,1287.201782,13399.008789,3
batch,54,1,16077.109375,1287.309448,14789.799805,3
epoch,54,0,16077.109375,1287.309448,14789.799805,3
batch,55,1,16532.496094,1287.308716,15245.187500,3
epoch,55,0,16532.496094,1287.308716,15245.187500,3
batch,56,1,18455.744141,679.869263,17775.875000,5
epoch,56,0,18455.744141,679.869263,17775.875000,5
batch,57,1,14218.760742,1287.307495,12931.453125,3
epoch,57,0,14218.760742,1287.307495,12931.453125,3
batch,58,1,13112.563477,593.992920,12518.570312,3
epoch,58,0,13112.563477,593.992920,12518.570312,3
batch,59,1,12946.601562,391.254303,12555.347656,3
epoch,59,0,12946.601562,391.254303,12555.347656,3
batch,60,1,13194.409180,1287.228516,11907.180664,3
epoch,60,0,13194.409180,1287.228516,11907.180664,3
batch,61,1,15081.422852,1051.154053,14030.268555,3
epoch,61,0,15081.422852,1051.154053,14030.268555,3
batch,62,1,14749.965820,8.638951,14741.327148,2
epoch,62,0,14749.965820,8.638951,14741.327148,2
batch,63,1,18376.474609,1287.257935,17089.216797,3
epoch,63,0,18376.474609,1287.257935,17089.216797,3
batch,64,1,17882.101562,1287.199585,16594.902344,3
epoch,64,0,17882.101562,1287.199585,16594.902344,3
batch,65,1,24582.515625,1287.306152,23295.208984,3
epoch,65,0,24582.515625,1287.306152,23295.208984,3
batch,66,1,13161.085938,977.842712,12183.243164,3
epoch,66,0,13161.085938,977.842712,12183.243164,3
batch,67,1,14713.519531,487.323975,14226.195312,3
epoch,67,0,14713.519531,487.323975,14226.195312,3
batch,68,1,15289.643555,8.854084,15280.789062,2
epoch,68,0,15289.643555,8.854084,15280.789062,2
batch,69,1,25932.994141,1287.211304,24645.783203,3
epoch,69,0,25932.994141,1287.211304,24645.783203,3
batch,70,1,12703.655273,1287.285522,11416.370117,3
epoch,70,0,12703.655273,1287.285522,11416.370117,3
batch,71,1,19476.562500,634.284302,18842.277344,5
epoch,71,0,19476.562500,634.284302,18842.277344,5
batch,72,1,13294.529297,1287.190796,12007.338867,3
epoch,72,0,13294.529297,1287.190796,12007.338867,3
batch,73,1,15587.383789,1287.236328,14300.147461,3
epoch,73,0,15587.383789,1287.236328,14300.147461,3
batch,74,1,16484.806641,1287.228760,15197.578125,3
epoch,74,0,16484.806641,1287.228760,15197.578125,3
batch,75,1,20729.738281,727.176208,20002.562500,5
epoch,75,0,20729.738281,727.176208,20002.562500,5
batch,76,1,13293.331055,1205.932495,12087.398438,3
epoch,76,0,13293.331055,1205.932495,12087.398438,3
batch,77,1,13867.017578,1287.302124,12579.715820,3
epoch,77,0,13867.017578,1287.302124,12579.715820,3
batch,78,1,14436.288086,1287.126709,13149.161133,3
epoch,78,0,14436.288086,1287.126709,13149.161133,3
batch,79,1,18446.580078,1205.918091,17240.662109,3
epoch,79,0,18446.580078,1205.918091,17240.662109,3
batch,80,1,15187.317383,1199.052002,13988.265625,3
epoch,80,0,15187.317383,1199.052002,13988.265625,3
batch,81,1,20370.365234,775.918152,19594.447266,5
epoch,81,0,20370.365234,775.918152,19594.447266,5
batch,82,1,18703.695312,773.785828,17929.910156,3
epoch,82,0,18703.695312,773.785828,17929.910156,3
batch,83,1,14523.654297,1287.249512,13236.405273,3
epoch,83,0,14523.654297,1287.249512,13236.405273,3
batch,84,1,14133.571289,651.187317,13482.383789,3
epoch,84,0,14133.571289,651.187317,13482.383789,3
batch,85,1,18596.205078,567.089661,18029.115234,7
